for_profit_hotel_id,address_number_july,address_street_july,block_lot_july,cofu_residential,cofu_tourist,reported_occupied_residential_july,reported_occupied_tourist_july,vacant_residential_july,vacant_tourist_july,total_reported_hotel_units_july,aaur_filing_received_july,aaur_sufficient_july,address_number_august,address_street_august,block_lot_august,reported_occupied_residential_august,reported_occupied_tourist_august,vacant_residential_august,vacant_tourist_august,total_reported_hotel_units_august,average_rent_dollars,aaur_filing_received_august,aaur_sufficient_august,became_compliant
305,1255,POLK ST,0670 026 01,25,0,24,0,1,0,25,TRUE,TRUE,1255,POLK ST,0670 026 01,24,0,1,0,25,659.91,TRUE,TRUE,FALSE
306,1544,POLK ST,0644 016 01,29,9,NA,NA,NA,NA,NA,TRUE,FALSE,1544,POLK ST,0644 016 01,28,9,0,0,37,675,TRUE,TRUE,TRUE
307,1618,POLK ST,0621 014 01,6,0,6,0,0,0,6,TRUE,TRUE,1618,POLK ST,0621 014 01,6,0,0,0,6,681.44,TRUE,TRUE,FALSE
308,1625,POLK ST,0622 003 01,6,0,6,0,0,0,6,TRUE,TRUE,1625,POLK ST,0622 003 01,6,0,0,0,6,693.45,TRUE,TRUE,FALSE
309,1733,POLK ST,0619 002 01,7,0,NA,NA,NA,NA,NA,TRUE,FALSE,1733,POLK ST,0619 002 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
310,1736,POLK ST,0620 018 01,17,0,8,0,0,0,8,TRUE,FALSE,1736,POLK ST,0620 018 01,8,0,0,0,8,756,TRUE,FALSE,FALSE
311,2048,POLK ST,0573 012 01,81,0,81,0,0,0,81,TRUE,FALSE,2048,POLK ST,0573 012 01,81,0,0,0,81,450,TRUE,FALSE,FALSE
312,589,POST ST,0306 017 01,66,23,66,20,0,0,89,TRUE,TRUE,589,POST ST,0306 017 01,66,20,0,0,89,693.42,TRUE,TRUE,FALSE
313,606,POST ST,0298 006 01,26,15,24,11,2,4,41,TRUE,TRUE,606,POST ST,0298 006 01,24,11,2,4,41,1600,TRUE,TRUE,FALSE
314,615,POST ST,0305 034 01,12,0,NA,NA,NA,NA,NA,FALSE,FALSE,615,POST ST,0305 034 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
315,629,POST ST,0305 032 01,62,0,17,0,45,0,62,TRUE,FALSE,629,POST ST,0305 032 01,17,0,45,0,62,1406.32,TRUE,TRUE,TRUE
316,641,POST ST,0305 029 01,94,0,89,0,5,0,94,TRUE,TRUE,641,POST ST,0305 029 01,89,0,5,0,94,919.92,TRUE,TRUE,FALSE
317,711,POST ST,0304 018 01,70,53,58,45,12,8,123,TRUE,TRUE,711,POST ST,0304 018 01,58,45,12,8,123,695,TRUE,TRUE,FALSE
318,775,POST ST,0304 014 01,18,0,15,0,3,0,18,TRUE,TRUE,775,POST ST,0304 014 01,15,0,3,0,18,828.42,TRUE,TRUE,FALSE
319,798,POST ST,0299 010 01,6,0,6,0,0,0,6,TRUE,TRUE,798,POST ST,0299 010 01,6,0,0,0,6,1300,TRUE,TRUE,FALSE
320,908,POST ST,0301 007 01,27,0,26,0,1,0,27,TRUE,TRUE,908,POST ST,0301 007 01,26,0,1,0,27,548.15,TRUE,TRUE,FALSE
321,1010,POST ST,0692 003 01,39,0,NA,NA,NA,NA,NA,FALSE,FALSE,1010,POST ST,0692 003 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
322,1075,POST ST,0693 017 01,20,1,17,0,2,0,19,TRUE,TRUE,1075,POST ST,0693 017 01,17,0,2,0,19,700,TRUE,TRUE,FALSE
323,1105,POST ST,0694 001 01,19,0,NA,NA,NA,NA,NA,TRUE,FALSE,1105,POST ST,0694 001 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
324,161,POWELL ST,0326 002 01,66,38,50,33,16,5,104,TRUE,TRUE,161,POWELL ST,0326 002 01,50,33,16,5,104,923.29,TRUE,TRUE,FALSE
325,242,POWELL ST,0314 010 01,6,99,1,78,5,21,105,TRUE,TRUE,242,POWELL ST,0314 010 01,1,78,5,21,105,331.52,TRUE,FALSE,FALSE
326,245,POWELL ST,0315 002 01,54,54,NA,NA,NA,NA,NA,TRUE,FALSE,245,POWELL ST,0315 002 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
327,1005,POWELL ST,0212 008 01,64,0,64,0,0,0,64,TRUE,TRUE,1005,POWELL ST,0212 008 01,64,0,0,0,64,450,TRUE,TRUE,FALSE
328,1362,POWELL ST,0160 017 01,25,0,NA,NA,NA,NA,NA,FALSE,FALSE,1362,POWELL ST,0160 017 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
329,1449,POWELL ST,0148 031 01,17,0,15,0,2,0,17,TRUE,TRUE,1449,POWELL ST,0148 031 01,15,0,2,0,17,500,TRUE,TRUE,FALSE
330,1466,POWELL ST,0147 015A 01,83,0,85,0,2,0,83,TRUE,FALSE,1466,POWELL ST,0147 015A 01,85,0,2,0,83,436.88,TRUE,TRUE,TRUE
331,17,ROMOLO PL,0145 022 01,25,0,20,0,5,0,25,TRUE,TRUE,17,ROMOLO PL,0145 022 01,20,0,5,0,25,743.98,TRUE,TRUE,FALSE
332,45,ROSS AL,0193 021A 01,28,0,28,0,0,0,28,TRUE,TRUE,45,ROSS AL,0193 021A 01,28,0,0,0,28,330,TRUE,TRUE,FALSE
333,666,SACRAMENTO ST,0227 015 01,17,0,15,0,2,0,17,TRUE,TRUE,666,SACRAMENTO ST,0227 015 01,15,0,2,0,17,350,TRUE,TRUE,FALSE
334,1685,SACRAMENTO ST,0644 017 01,24,14,NA,NA,NA,NA,NA,TRUE,FALSE,1685,SACRAMENTO ST,0644 017 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
335,1870,SACRAMENTO ST,0623 005 01,104,0,NA,NA,NA,NA,NA,TRUE,FALSE,1870,SACRAMENTO ST,0623 005 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
336,2263,SACRAMENTO ST,0638 011 01,16,0,NA,NA,NA,NA,NA,FALSE,FALSE,2263,SACRAMENTO ST,0638 011 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
337,838,SANSOME ST,0165 010 01,61,0,41,0,1,0,41,TRUE,FALSE,838,SANSOME ST,0165 010 01,41,0,1,0,41,580.46,TRUE,FALSE,FALSE
338,106,SOUTH PARK AV,3775 058 01,15,9,NA,NA,NA,NA,NA,FALSE,FALSE,106,SOUTH PARK AV,3775 058 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
339,4,SPOFFORD AL,0210 010 01,12,0,12,0,0,0,12,TRUE,TRUE,4,SPOFFORD AL,0210 010 01,12,0,0,0,12,500,TRUE,TRUE,FALSE
340,31,SPOFFORD AL,0210 015 01,7,0,7,0,0,0,7,TRUE,TRUE,31,SPOFFORD AL,0210 015 01,7,0,0,0,7,210.15,TRUE,TRUE,FALSE
341,32,SPOFFORD AL,0210 023 01,8,0,8,0,0,0,8,TRUE,FALSE,32,SPOFFORD AL,0210 023 01,8,0,0,0,8,675,TRUE,FALSE,FALSE
342,39,SPOFFORD AL,0210 021 01,40,2,42,0,0,0,42,TRUE,TRUE,39,SPOFFORD AL,0210 021 01,42,0,0,0,42,437.44,TRUE,TRUE,FALSE
343,44,SPOFFORD AL,0210 045 01,8,0,8,0,0,0,8,TRUE,TRUE,44,SPOFFORD AL,0210 045 01,8,0,0,0,8,410,TRUE,TRUE,FALSE
344,48,SPOFFORD AL,0210 025 01,7,0,7,0,0,0,7,TRUE,FALSE,48,SPOFFORD AL,0210 025 01,7,0,0,0,7,NA,TRUE,FALSE,FALSE
345,809,STOCKTON ST,0224 005 01,24,0,24,0,0,0,24,TRUE,TRUE,809,STOCKTON ST,0224 005 01,24,0,0,0,24,559.04,TRUE,TRUE,FALSE
346,856,STOCKTON ST,0225 017 01,58,0,56,0,2,0,58,TRUE,TRUE,856,STOCKTON ST,0225 017 01,56,0,2,0,58,330,TRUE,TRUE,FALSE
347,1017,STOCKTON ST,0192 003 01,14,0,11,0,3,0,14,TRUE,TRUE,1017,STOCKTON ST,0192 003 01,11,0,3,0,14,212,TRUE,TRUE,FALSE
348,1064,STOCKTON ST,0193 022 01,12,0,12,0,0,0,12,TRUE,FALSE,1064,STOCKTON ST,0193 022 01,12,0,0,0,12,389,TRUE,FALSE,FALSE
349,1137,STOCKTON ST,0179 042 01,23,0,22,0,1,0,23,TRUE,TRUE,1137,STOCKTON ST,0179 042 01,22,0,1,0,23,370,TRUE,TRUE,FALSE
350,1316,STOCKTON ST,0146 012 01,28,0,27,0,1,0,28,TRUE,FALSE,1316,STOCKTON ST,0146 012 01,27,0,1,0,28,529,TRUE,FALSE,FALSE
351,1323,STOCKTON ST,0147 004 01,20,0,20,0,0,0,20,TRUE,TRUE,1323,STOCKTON ST,0147 004 01,20,0,0,0,20,493,TRUE,TRUE,FALSE
352,1331,STOCKTON ST,0147 003 01,182,0,167,0,15,0,182,TRUE,TRUE,1331,STOCKTON ST,0147 003 01,167,0,15,0,182,262,TRUE,TRUE,FALSE
353,1334,STOCKTON ST,0146 015 01,79,0,79,0,0,0,79,TRUE,FALSE,1334,STOCKTON ST,0146 015 01,79,0,0,0,79,572.57,TRUE,FALSE,FALSE
354,1350,STOCKTON ST,0146 016 01,98,0,97,0,1,0,98,TRUE,TRUE,1350,STOCKTON ST,0146 016 01,97,0,1,0,98,538.61,TRUE,TRUE,FALSE
355,1351,STOCKTON ST,0147 002 01,54,0,57,0,0,0,57,TRUE,FALSE,1351,STOCKTON ST,0147 002 01,57,0,0,0,57,416,TRUE,TRUE,TRUE
356,1411,STOCKTON ST,0130 009 01,55,0,42,0,13,0,55,TRUE,TRUE,1411,STOCKTON ST,0130 009 01,42,0,13,0,55,765,TRUE,TRUE,FALSE
357,325,SUTTER ST,0294 021 01,69,10,33,8,53,2,96,TRUE,TRUE,325,SUTTER ST,0294 021 01,33,8,53,2,96,792.67,TRUE,TRUE,FALSE
358,717,SUTTER ST,0298 034 01,19,16,35,0,0,0,35,TRUE,TRUE,717,SUTTER ST,0298 034 01,35,0,0,0,35,695,TRUE,TRUE,FALSE
359,766,SUTTER ST,0282 007 01,6,0,6,0,0,0,6,TRUE,TRUE,766,SUTTER ST,0282 007 01,6,0,0,0,6,1573.5,TRUE,TRUE,FALSE
360,860,SUTTER ST,0281 006 01,50,39,50,39,0,0,89,TRUE,FALSE,860,SUTTER ST,0281 006 01,50,39,0,0,89,1300,TRUE,FALSE,FALSE
361,952,SUTTER ST,0280 011 01,10,0,NA,NA,NA,NA,NA,FALSE,FALSE,952,SUTTER ST,0280 011 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
362,972,SUTTER ST,0280 012 01,19,11,18,10,1,1,30,TRUE,TRUE,972,SUTTER ST,0280 012 01,18,10,1,1,30,705,TRUE,TRUE,FALSE
363,1e3,SUTTER ST,0279 005 01,232,0,191,0,41,0,232,TRUE,FALSE,1e3,SUTTER ST,0279 005 01,191,0,41,0,232,1009.42,TRUE,FALSE,FALSE
364,1114,SUTTER ST,0669 006 01,7,0,7,0,0,0,7,TRUE,FALSE,1114,SUTTER ST,0669 006 01,7,0,0,0,7,779.79,TRUE,FALSE,FALSE
365,1499,SUTTER ST,0689 012 01,194,0,138,0,56,0,194,TRUE,FALSE,1499,SUTTER ST,0689 012 01,138,0,56,0,194,1277.59,TRUE,FALSE,FALSE
366,1570,SUTTER ST,0673 007 01,75,0,NA,NA,NA,NA,NA,TRUE,FALSE,1570,SUTTER ST,0673 007 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
367,30,SYCAMORE ST,3576 066 01,24,0,31,0,0,0,31,TRUE,FALSE,30,SYCAMORE ST,3576 066 01,31,0,0,0,31,629,TRUE,TRUE,TRUE
368,118,TAYLOR ST,0340 012 01,38,25,14,0,24,25,63,TRUE,FALSE,118,TAYLOR ST,0340 012 01,14,0,24,25,63,625,TRUE,FALSE,FALSE
369,162,TAYLOR ST,0340 015 01,27,2,20,2,7,0,27,TRUE,TRUE,162,TAYLOR ST,0340 015 01,20,2,7,0,27,950,TRUE,TRUE,FALSE
370,615,TAYLOR ST,0298 005,17,17,9,3,8,14,34,TRUE,TRUE,615,TAYLOR ST,0298 005,9,3,8,14,34,875,TRUE,TRUE,FALSE
371,735,TAYLOR ST,0282 003 01,63,0,57,0,6,0,63,TRUE,TRUE,735,TAYLOR ST,0282 003 01,57,0,6,0,63,1525.61,TRUE,TRUE,FALSE
372,749,TAYLOR ST,0282 002 01,14,22,10,12,4,10,36,TRUE,TRUE,749,TAYLOR ST,0282 002 01,10,12,4,10,36,715,TRUE,TRUE,FALSE
373,50,TURK ST,0340 008,12,4,11,1,1,0,16,TRUE,FALSE,50,TURK ST,0340 008,11,1,1,0,16,NA,TRUE,FALSE,FALSE
374,74,TURK ST,0340 010 01,50,2,47,1,3,1,52,TRUE,TRUE,74,TURK ST,0340 010 01,47,1,3,1,52,580.33,TRUE,TRUE,FALSE
375,140,TURK ST,0339 007 01,25,7,22,0,3,7,32,TRUE,FALSE,140,TURK ST,0339 007 01,22,0,3,7,32,600,TRUE,FALSE,FALSE
376,166,TURK ST,0339 009 01,8,9,10,2,0,5,17,TRUE,TRUE,166,TURK ST,0339 009 01,10,2,0,5,17,1e3,TRUE,TRUE,FALSE
377,270,TURK ST,0338 010 01,16,0,16,0,0,0,16,TRUE,TRUE,270,TURK ST,0338 010 01,16,0,0,0,16,964.22,TRUE,TRUE,FALSE
378,275,TURK ST,0344 007 01,7,0,8,0,0,0,8,TRUE,FALSE,275,TURK ST,0344 007 01,8,0,0,0,8,728.08,TRUE,FALSE,FALSE
379,467,TURK ST,0346 013 01,93,0,NA,NA,NA,NA,NA,FALSE,FALSE,467,TURK ST,0346 013 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
380,835,TURK ST,0761 016A 01,114,0,114,0,0,0,114,TRUE,TRUE,835,TURK ST,0761 016A 01,114,0,0,0,114,1509.3,TRUE,TRUE,FALSE
381,615,UNION ST,0117 001 01,66,0,43,0,3,0,46,TRUE,FALSE,615,UNION ST,0117 001 01,43,0,3,0,46,1300,TRUE,FALSE,FALSE
382,1510,UNION ST,0527 009 01,13,0,13,0,0,0,13,TRUE,FALSE,1510,UNION ST,0527 009 01,13,0,0,0,13,650,TRUE,FALSE,FALSE
383,2186,UNION ST,0533 019 01,12,0,12,0,0,0,12,TRUE,TRUE,2186,UNION ST,0533 019 01,12,0,0,0,12,942.28,TRUE,TRUE,FALSE
384,1312,UTAH ST,4264 001 01,16,0,16,0,1,0,17,TRUE,TRUE,1312,UTAH ST,4264 001 01,16,0,1,0,17,794,TRUE,TRUE,FALSE
385,447,VALENCIA ST,3554 057 01,42,30,42,23,0,7,72,TRUE,TRUE,447,VALENCIA ST,3554 057 01,42,23,0,7,72,900.8,TRUE,TRUE,FALSE
386,528,VALENCIA ST,3568 003 01,49,0,16,0,35,0,51,TRUE,TRUE,528,VALENCIA ST,3568 003 01,16,0,35,0,51,600,TRUE,TRUE,FALSE
387,559,VALENCIA ST,3569 041 01,63,0,56,0,7,0,63,TRUE,TRUE,559,VALENCIA ST,3569 041 01,56,0,7,0,63,500,TRUE,TRUE,FALSE
388,663,VALENCIA ST,3576 113 01,40,0,18,0,22,0,40,TRUE,TRUE,663,VALENCIA ST,3576 113 01,18,0,22,0,40,1400,TRUE,TRUE,FALSE
389,868,VALENCIA ST,3597 009 01,24,0,24,0,0,0,24,TRUE,TRUE,868,VALENCIA ST,3597 009 01,24,0,0,0,24,550,TRUE,TRUE,FALSE
390,1041,VALENCIA ST,3616 022 01,12,0,11,0,1,0,12,TRUE,TRUE,1041,VALENCIA ST,3616 022 01,11,0,1,0,12,591.31,TRUE,TRUE,FALSE
391,702,VALLEJO ST,0130 010 01,38,0,39,0,0,0,39,TRUE,FALSE,702,VALLEJO ST,0130 010 01,39,0,0,0,39,536.1,TRUE,FALSE,FALSE
392,705,VALLEJO ST,0147 001 01,40,3,40,2,0,1,43,TRUE,FALSE,705,VALLEJO ST,0147 001 01,40,2,0,1,43,498,TRUE,FALSE,FALSE
393,790,VALLEJO ST,0130 022 01,27,0,18,0,9,0,27,TRUE,TRUE,790,VALLEJO ST,0130 022 01,18,0,9,0,27,550,TRUE,TRUE,FALSE
394,1334,VAN NESS AV,0670 014 01,41,3,41,3,2,0,46,TRUE,TRUE,1334,VAN NESS AV,0670 014 01,41,3,2,0,46,765,TRUE,TRUE,FALSE
395,1405,VAN NESS AV,0666 005 01,41,0,41,0,0,0,41,TRUE,TRUE,1405,VAN NESS AV,0666 005 01,41,0,0,0,41,1735,TRUE,TRUE,FALSE
396,2420,VAN NESS AV,0547 009 01,18,0,17,0,1,0,18,TRUE,TRUE,2420,VAN NESS AV,0547 009 01,17,0,1,0,18,700,TRUE,TRUE,FALSE
397,16,VIRGINIA AV,5642 050 01,14,0,15,0,0,0,15,TRUE,FALSE,16,VIRGINIA AV,5642 050 01,15,0,0,0,15,600,TRUE,FALSE,FALSE
398,735,WASHINGTON ST,0209 011 01,20,0,0,0,0,0,20,TRUE,TRUE,735,WASHINGTON ST,0209 011 01,0,0,0,0,20,386.13,TRUE,TRUE,FALSE
399,858,WASHINGTON ST,0193 017 01,140,0,114,0,0,0,114,TRUE,FALSE,858,WASHINGTON ST,0193 017 01,114,0,0,0,114,517.19,TRUE,FALSE,FALSE
400,874,WASHINGTON ST,0193 018 01,115,0,115,0,0,0,115,TRUE,TRUE,874,WASHINGTON ST,0193 018 01,115,0,0,0,115,493.28,TRUE,TRUE,FALSE
401,29,WAVERLY PL,0225 025 01,13,0,12,0,1,0,13,TRUE,TRUE,29,WAVERLY PL,0225 025 01,12,0,1,0,13,450,TRUE,TRUE,FALSE
402,41,WAVERLY PL,0225 023 01,20,0,NA,NA,NA,NA,NA,TRUE,FALSE,41,WAVERLY PL,0225 023 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
403,124,WAVERLY PL,0210 038 01,26,0,25,0,1,0,26,TRUE,TRUE,124,WAVERLY PL,0210 038 01,25,0,1,0,26,526.46,TRUE,TRUE,FALSE
404,24,WENTWORTH ST,0194 023 01,21,0,20,0,1,0,21,TRUE,TRUE,24,WENTWORTH ST,0194 023 01,20,0,1,0,21,250,TRUE,TRUE,FALSE
